Time,aggregate
2011-04-21 00:00:00,513.0
2011-04-21 00:01:00,518.0
2011-04-21 00:02:00,508.0
2011-04-21 00:03:00,578.0
2011-04-21 00:04:00,504.0
2011-04-21 00:05:00,504.0
2011-04-21 00:06:00,507.0
2011-04-21 00:07:00,505.0
2011-04-21 00:08:00,506.0
2011-04-21 00:09:00,553.0
2011-04-21 00:10:00,569.0
2011-04-21 00:11:00,563.0
2011-04-21 00:12:00,565.0
2011-04-21 00:13:00,570.0
2011-04-21 00:14:00,570.0
2011-04-21 00:15:00,568.0
2011-04-21 00:16:00,424.0
2011-04-21 00:17:00,441.0
2011-04-21 00:18:00,441.0
2011-04-21 00:19:00,432.0
2011-04-21 00:20:00,435.0
2011-04-21 00:21:00,434.0
2011-04-21 00:22:00,438.0
2011-04-21 00:23:00,427.0
2011-04-21 00:24:00,404.0
2011-04-21 00:25:00,386.0
2011-04-21 00:26:00,399.0
2011-04-21 00:27:00,383.0
2011-04-21 00:28:00,388.0
2011-04-21 00:29:00,392.0
2011-04-21 00:30:00,392.0
2011-04-21 00:31:00,369.0
2011-04-21 00:32:00,366.0
2011-04-21 00:33:00,372.0
2011-04-21 00:34:00,393.0
2011-04-21 00:35:00,396.0
2011-04-21 00:36:00,419.0
2011-04-21 00:37:00,422.0
2011-04-21 00:38:00,392.0
2011-04-21 00:39:00,386.0
2011-04-21 00:40:00,505.0
2011-04-21 00:41:00,2357.0
2011-04-21 00:42:00,455.0
2011-04-21 00:43:00,395.0
2011-04-21 00:44:00,390.0
2011-04-21 00:45:00,390.0
2011-04-21 00:46:00,392.0
2011-04-21 00:47:00,385.0
2011-04-21 00:48:00,387.0
2011-04-21 00:49:00,390.0
2011-04-21 00:50:00,391.0
2011-04-21 00:51:00,388.0
2011-04-21 00:52:00,2313.0
2011-04-21 00:53:00,2321.0
2011-04-21 00:54:00,392.0
2011-04-21 00:55:00,392.0
2011-04-21 00:56:00,528.0
2011-04-21 00:57:00,559.0
2011-04-21 00:58:00,552.0
2011-04-21 00:59:00,536.0
2011-04-21 01:00:00,534.0
2011-04-21 01:01:00,536.0
2011-04-21 01:02:00,530.0
2011-04-21 01:03:00,532.0
2011-04-21 01:04:00,534.0
2011-04-21 01:05:00,534.0
2011-04-21 01:06:00,535.0
2011-04-21 01:07:00,529.0
2011-04-21 01:08:00,524.0
2011-04-21 01:09:00,528.0
2011-04-21 01:10:00,521.0
2011-04-21 01:11:00,517.0
2011-04-21 01:12:00,518.0
2011-04-21 01:13:00,522.0
2011-04-21 01:14:00,523.0
2011-04-21 01:15:00,518.0
2011-04-21 01:16:00,511.0
2011-04-21 01:17:00,510.0
2011-04-21 01:18:00,513.0
2011-04-21 01:19:00,538.0
2011-04-21 01:20:00,535.0
2011-04-21 01:21:00,530.0
2011-04-21 01:22:00,403.0
2011-04-21 01:23:00,410.0
2011-04-21 01:24:00,413.0
2011-04-21 01:25:00,402.0
2011-04-21 01:26:00,407.0
2011-04-21 01:27:00,396.0
2011-04-21 01:28:00,386.0
2011-04-21 01:29:00,390.0
2011-04-21 01:30:00,394.0
2011-04-21 01:31:00,401.0
2011-04-21 01:32:00,391.0
2011-04-21 01:33:00,403.0
2011-04-21 01:34:00,409.0
2011-04-21 01:35:00,405.0
2011-04-21 01:36:00,400.0
2011-04-21 01:37:00,393.0
2011-04-21 01:38:00,398.0
2011-04-21 01:39:00,390.0
2011-04-21 01:40:00,396.0
2011-04-21 01:41:00,391.0
2011-04-21 01:42:00,377.0
2011-04-21 01:43:00,370.0
2011-04-21 01:44:00,375.0
2011-04-21 01:45:00,372.0
2011-04-21 01:46:00,376.0
2011-04-21 01:47:00,371.0
2011-04-21 01:48:00,371.0
2011-04-21 01:49:00,375.0
2011-04-21 01:50:00,422.0
2011-04-21 01:51:00,429.0
2011-04-21 01:52:00,429.0
