Time,lighting,furance,kitchen_outlets,outlets_unknown,washer_dryer,stove,air_conditioning,air_conditioning2,miscellaeneous,smoke_alarms,lighting2,kitchen_outlets2,dishwaser,bathroom_gfi,bathroom_gfi2,lighting3,lighting4,air_conditioning3
2011-04-21 00:00:00,310.0,32.0,2.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,18.0,142.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-04-21 00:01:00,310.0,32.0,2.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,24.0,141.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-04-21 00:02:00,307.0,32.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,19.0,140.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-04-21 00:03:00,304.0,30.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,18.0,215.0,1.0,1.0,0.0,0.0,0.0,0.0
2011-04-21 00:04:00,309.0,30.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,18.0,137.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-04-21 00:05:00,307.0,31.0,2.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,18.0,137.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-04-21 00:06:00,310.0,33.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,18.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-21 00:07:00,310.0,29.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,20.0,136.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-04-21 00:08:00,313.0,30.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,18.0,135.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-04-21 00:09:00,312.0,34.0,47.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,18.0,134.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-04-21 00:10:00,311.0,30.0,62.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,23.0,135.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-04-21 00:11:00,312.0,30.0,62.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,19.0,132.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-04-21 00:12:00,312.0,29.0,57.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,23.0,136.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-04-21 00:13:00,312.0,31.0,63.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,23.0,133.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-04-21 00:14:00,312.0,34.0,65.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,18.0,133.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-04-21 00:15:00,313.0,29.0,63.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,22.0,132.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-04-21 00:16:00,312.0,30.0,54.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-04-21 00:17:00,313.0,31.0,64.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-04-21 00:18:00,312.0,32.0,68.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-04-21 00:19:00,314.0,33.0,57.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-04-21 00:20:00,314.0,30.0,60.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-04-21 00:21:00,314.0,31.0,57.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,23.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
