Time,aggregate
2011-04-20 00:00:00,0.0
2011-04-20 00:01:00,0.0
2011-04-20 00:02:00,0.0
2011-04-20 00:03:00,0.0
2011-04-20 00:04:00,0.0
2011-04-20 00:05:00,0.0
2011-04-20 00:06:00,0.0
2011-04-20 00:07:00,0.0
2011-04-20 00:08:00,0.0
2011-04-20 00:09:00,0.0
2011-04-20 00:10:00,0.0
2011-04-20 00:11:00,0.0
2011-04-20 00:12:00,0.0
2011-04-20 00:13:00,0.0
2011-04-20 00:14:00,0.0
2011-04-20 00:15:00,0.0
2011-04-20 00:16:00,0.0
2011-04-20 00:17:00,0.0
2011-04-20 00:18:00,0.0
2011-04-20 00:19:00,0.0
2011-04-20 00:20:00,0.0
2011-04-20 00:21:00,0.0
2011-04-20 00:22:00,0.0
2011-04-20 00:23:00,0.0
2011-04-20 00:24:00,0.0
2011-04-20 00:25:00,0.0
2011-04-20 00:26:00,0.0
2011-04-20 00:27:00,0.0
2011-04-20 00:28:00,0.0
2011-04-20 00:29:00,0.0
2011-04-20 00:30:00,0.0
2011-04-20 00:31:00,0.0
2011-04-20 00:32:00,0.0
2011-04-20 00:33:00,0.0
2011-04-20 00:34:00,0.0
2011-04-20 00:35:00,0.0
2011-04-20 00:36:00,0.0
2011-04-20 00:37:00,0.0
2011-04-20 00:38:00,0.0
2011-04-20 00:39:00,0.0
2011-04-20 00:40:00,0.0
2011-04-20 00:41:00,0.0
2011-04-20 00:42:00,0.0
2011-04-20 00:43:00,1339.0
2011-04-20 00:44:00,0.0
2011-04-20 00:45:00,6094.0
2011-04-20 00:46:00,5809.0
2011-04-20 00:47:00,1339.0
2011-04-20 00:48:00,1327.0
2011-04-20 00:49:00,1372.0
2011-04-20 00:50:00,1363.0
2011-04-20 00:51:00,1343.0
2011-04-20 00:52:00,1335.0
2011-04-20 00:53:00,1064.0
2011-04-20 00:54:00,1075.0
2011-04-20 00:55:00,1077.0
2011-04-20 00:56:00,1062.0
2011-04-20 00:57:00,1062.0
2011-04-20 00:58:00,6273.0
2011-04-20 00:59:00,5870.0
2011-04-20 01:00:00,5864.0
2011-04-20 01:01:00,5877.0
2011-04-20 01:02:00,5858.0
2011-04-20 01:03:00,5890.0
2011-04-20 01:04:00,5864.0
2011-04-20 01:05:00,6325.0
2011-04-20 01:06:00,5856.0
2011-04-20 01:07:00,5861.0
2011-04-20 01:08:00,1379.0
2011-04-20 01:09:00,6343.0
2011-04-20 01:10:00,5835.0
2011-04-20 01:11:00,5843.0
2011-04-20 01:12:00,6389.0
2011-04-20 01:13:00,5984.0
2011-04-20 01:14:00,6389.0
2011-04-20 01:15:00,6219.0
2011-04-20 01:16:00,5963.0
2011-04-20 01:17:00,5841.0
2011-04-20 01:18:00,0.0
2011-04-20 01:19:00,0.0
2011-04-20 01:20:00,6163.0
2011-04-20 01:21:00,6580.0
2011-04-20 01:22:00,6653.0
2011-04-20 01:23:00,6093.0
2011-04-20 01:24:00,5968.0
2011-04-20 01:25:00,1543.0
2011-04-20 01:26:00,6327.0
2011-04-20 01:27:00,5971.0
2011-04-20 01:28:00,6023.0
2011-04-20 01:29:00,6719.0
2011-04-20 01:30:00,5941.0
2011-04-20 01:31:00,5948.0
2011-04-20 01:32:00,6729.0
2011-04-20 01:33:00,6077.0
2011-04-20 01:34:00,5863.0
2011-04-20 01:35:00,6282.0
2011-04-20 01:36:00,6180.0
2011-04-20 01:37:00,5901.0
2011-04-20 01:38:00,6518.0
2011-04-20 01:39:00,5826.0
2011-04-20 01:40:00,5751.0
2011-04-20 01:41:00,1221.0
2011-04-20 01:42:00,6693.0
2011-04-20 01:43:00,6033.0
2011-04-20 01:44:00,6047.0
2011-04-20 01:45:00,6454.0
2011-04-20 01:46:00,5336.0
2011-04-20 01:47:00,5352.0
2011-04-20 01:48:00,5694.0
2011-04-20 01:49:00,5294.0
2011-04-20 01:50:00,3058.0
2011-04-20 01:51:00,5381.0
2011-04-20 01:52:00,5275.0
2011-04-20 01:53:00,812.0
2011-04-20 01:54:00,5548.0
2011-04-20 01:55:00,5297.0
2011-04-20 01:56:00,817.0
2011-04-20 01:57:00,5858.0
2011-04-20 01:58:00,5324.0
2011-04-20 01:59:00,810.0
2011-04-20 02:00:00,5446.0
2011-04-20 02:01:00,5187.0
2011-04-20 02:02:00,692.0
2011-04-20 02:03:00,5627.0
2011-04-20 02:04:00,5219.0
2011-04-20 02:05:00,691.0
2011-04-20 02:06:00,3604.0
2011-04-20 02:07:00,5539.0
2011-04-20 02:08:00,5152.0
2011-04-20 02:09:00,694.0
2011-04-20 02:10:00,5765.0
2011-04-20 02:11:00,5148.0
2011-04-20 02:12:00,696.0
2011-04-20 02:13:00,695.0
2011-04-20 02:14:00,5571.0
2011-04-20 02:15:00,5160.0
2011-04-20 02:16:00,693.0
2011-04-20 02:17:00,691.0
2011-04-20 02:18:00,5850.0
2011-04-20 02:19:00,5297.0
2011-04-20 02:20:00,810.0
2011-04-20 02:21:00,803.0
2011-04-20 02:22:00,5775.0
2011-04-20 02:23:00,5289.0
2011-04-20 02:24:00,803.0
2011-04-20 02:25:00,798.0
2011-04-20 02:26:00,5712.0
2011-04-20 02:27:00,5296.0
2011-04-20 02:28:00,829.0
2011-04-20 02:29:00,926.0
2011-04-20 02:30:00,883.0
2011-04-20 02:31:00,881.0
2011-04-20 02:32:00,773.0
2011-04-20 02:33:00,783.0
2011-04-20 02:34:00,846.0
2011-04-20 02:35:00,812.0
2011-04-20 02:36:00,1001.0
2011-04-20 02:37:00,975.0
2011-04-20 02:38:00,978.0
2011-04-20 02:39:00,1011.0
2011-04-20 02:40:00,825.0
2011-04-20 02:41:00,823.0
2011-04-20 02:42:00,838.0
2011-04-20 02:43:00,827.0
2011-04-20 02:44:00,841.0
2011-04-20 02:45:00,835.0
2011-04-20 02:46:00,842.0
2011-04-20 02:47:00,818.0
2011-04-20 02:48:00,680.0
2011-04-20 02:49:00,410.0
2011-04-20 02:50:00,405.0
2011-04-20 02:51:00,426.0
2011-04-20 02:52:00,406.0
2011-04-20 02:53:00,394.0
2011-04-20 02:54:00,558.0
2011-04-20 02:55:00,561.0
2011-04-20 02:56:00,5901.0
2011-04-20 02:57:00,5242.0
2011-04-20 02:58:00,5235.0
2011-04-20 02:59:00,5227.0
2011-04-20 03:00:00,5538.0
2011-04-20 03:01:00,5232.0
2011-04-20 03:02:00,5382.0
2011-04-20 03:03:00,5236.0
2011-04-20 03:04:00,5705.0
2011-04-20 03:05:00,5404.0
2011-04-20 03:06:00,5638.0
2011-04-20 03:07:00,5099.0
